Sucursal;Division;Categoria;Grupo;Producto;ProdNombre;Proveedor;SALDOUNDTOTAL; Total Costo Und.
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000196;"AISLAMIENTO 1/2"" X 1/2 PARED";FRIOPARTES S A DE C.V.;2;L95.65
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000264;"AISLAMIENTO 1 1/8"" X 3/8 PARED";FRIOPARTES S A DE C.V.;10;L234.79
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000302;CODO SOLDABLE 7/8 X 90;FRIOPARTES S A DE C.V.;14;L365.22
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000055;CINTA FOAM 2X30;AIRE FRIO DE HONDURAS S. A DE C. V;5;L469.57
BSU01;AIRE ACONDICIONADO;ILUMINACIONES ELECTRICAS;TUBOS/CANDELAS;CON0002156;AISLADOR DE CARRETE;NAHUM ALBERTO MENDEZ AGUILERA / PROYECTO;8;L107.35
BSU01;AIRE ACONDICIONADO;ILUMINACIONES ELECTRICAS;TUBOS/CANDELAS;SEL001489;BASE DE FLUORECENTE 2 PINES;DISTRIBUIDORA INDUSTRIAL S.A. DE C.V.;63;L496.41
BSU01;AIRE ACONDICIONADO;ILUMINACIONES ELECTRICAS;TUBOS/CANDELAS;SEL001799;LUCES D/OFICINA CHINA 2025 (13954-1108-1);SIN ESPESIFICAR;7;L2,499.11
BSU01;AIRE ACONDICIONADO;ILUMINACIONES ELECTRICAS;TUBOS/CANDELAS;SEL001878;LAMPARA SPOT LED 12W MUEBLE DE RELOJ;PAPER DEPOT S.A DE C.V;1;L125.88
BSU01;AIRE ACONDICIONADO;ILUMINACIONES ELECTRICAS;TUBOS/CANDELAS;SEL001882;BASE FLUORECENTE 2 PINES EAGLE;SIN ESPESIFICAR;23;L1,541.00
BSU01;ARTICULOS OFICINA;PAPELERIA Y UTILES;AGUJAS;AOF000354;AGUJA PARA PISTOLA CHINA USAR;SIN ESPESIFICAR;358;L13,153.51
BSU01;ARTICULOS OFICINA;PAPELERIA Y UTILES;ALMOHADILLA;AOF001038;ALMOHADILLA P/SELLO 12.8*8.1CM CHINA;SIN ESPESIFICAR;102;L2,391.81
BSU01;ARTICULOS OFICINA;PAPELERIA Y UTILES;ARCHIVADORES;AOF000021;ARCHIVADOR T/C USAR ;ACCESORIOS PARA COMPUTADORAS Y OFICINAS S.A DE C.V;26;L748.28
BSU01;ARTICULOS OFICINA;PAPELERIA Y UTILES;ARCHIVADORES;AOF000026;BINDER ;DANILO GARCIA/PROYECTOS;1;L161.39
BSU01;ARTICULOS OFICINA;PAPELERIA Y UTILES;ATADURAS;AOF000268;BALA PLASTICA 35MM CHINO USAR;SIN ESPESIFICAR;119;L2,272.30
BSU01;ARTICULOS OFICINA;PAPELERIA Y UTILES;ATADURAS;AOF000270;PELIO TIPO GANCHO DE COLGAR USAR ;SIN ESPESIFICAR;197;L13,731.53
BSU01;ARTICULOS OFICINA;PAPELERIA Y UTILES;ATADURAS;AOF000271;BALA PLASTICA 50MM CHINO USAR;SIN ESPESIFICAR;252;L11,566.51
BSU01;ARTICULOS OFICINA;PAPELERIA Y UTILES;ATADURAS;AOF000307;ATADURA DE SEGURIDAD #12 (PELIO) CHINO;SIN ESPESIFICAR;9,785.00;L98,927.03
