MES;DEPARTAMENTO2;Serie Descripcion;Division;Categoria;Grupo;Proveedor;UNIDAD NEG 2025;UNIDAD POS 2026;COSTO NEG 2025;COSTO POS 2025;UNIDAD NEG 2026;UNIDAD NEG 2026;COSTO NEG 2026;COSTO POS 2026
ENERO;0;Historico de recepciones;CONSTRUCCION;MATERIALES;PINTURA;;;;;;;7;;L2,424.65
ENERO;0;Historico de recepciones;CONSTRUCCION;MATERIALES;TUBERIA PVC;;;;;;;1;;L177.74
ENERO;0;Historico de recepciones;ELECTRONICA;EQUIPO COMPUTO;ACCESORIOS SONIDO;;;;;;;1;;L3,420.00
ENERO;0;Historico de recepciones;ELECTRONICA;EQUIPO COMPUTO;ACCESORIOS TECNOLOGICOS;;;;;;;2;;L1,215.65
ENERO;0;Historico de recepciones;ELECTRONICA;EQUIPO COMPUTO;TELEVISORE/SISTEMAS DE AUDIO;;;;;;;2;;L22,227.83
ENERO;0;Historico de recepciones;EMPAQUES;TEXTILES;ETIQUETA NYLON SUPER SPORT;;;10,786;;L12,943.20;;;;
ENERO;0;Historico de recepciones;LIMPIEZA;UTENSILIOS LIMPIEZA;AMBIENTALES;;;;;;;1;;L200.85
ENERO;0;Historico de recepciones;LIMPIEZA;UTENSILIOS LIMPIEZA;BOMBAS;;;;;;;2;;L57.73
ENERO;0;Historico de recepciones;LIMPIEZA;UTENSILIOS LIMPIEZA;DESINFECTANTES;;;;;;;9;;L1,080.00
ENERO;0;Historico de recepciones;LIMPIEZA;UTENSILIOS LIMPIEZA;LIMPIADORES DE VIDRIO;;;;;;;2;;L58.00
ENERO;0;Historico de recepciones;LIMPIEZA;UTENSILIOS LIMPIEZA;USO EXTERIORES LIMPIEZAS;;;;;;;5;;L183.48
ENERO;0;Historico de recepciones;MECANICA;REPUESTOS Y ACCESORIOS;ACEITES;;;;;;;4;;L2,434.80
ENERO;0;(en blanco);AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;;;4;;L53,608.64;-6;13;-L17,142.84;L21,889.83
ENERO;0;(en blanco);ARTICULOS OFICINA;PAPELERIA Y UTILES;AGUJAS;;;30;;L534.41;;;;
ENERO;0;(en blanco);ARTICULOS OFICINA;PAPELERIA Y UTILES;ATADURAS;;;5,060;;L53,554.38;;;;
ENERO;0;(en blanco);ARTICULOS OFICINA;PAPELERIA Y UTILES;BATERIAS;;;15;;L100.26;;;;
ENERO;0;(en blanco);ARTICULOS OFICINA;PAPELERIA Y UTILES;BOLIGRAFOS;;;2,000;;L2,025.30;;;;
ENERO;0;(en blanco);ARTICULOS OFICINA;PAPELERIA Y UTILES;CUADERNO;;-3;3;-L239.62;L247.90;;;;
ENERO;0;(en blanco);ARTICULOS OFICINA;PAPELERIA Y UTILES;FOLDERS;;;1,000;;L860.80;;;;
ENERO;0;(en blanco);ARTICULOS OFICINA;PAPELERIA Y UTILES;MARCADORES;;;252;;L322.35;;;;
ENERO;0;(en blanco);ARTICULOS OFICINA;PAPELERIA Y UTILES;NOTAS ADHESIVAS;;;24;;L75.53;;;;
ENERO;0;(en blanco);ARTICULOS OFICINA;PAPELERIA Y UTILES;PISTOLAS;;;30;;L986.55;;;;
